red,green,blue,closest_id,closest_dist
79,86,78,,
81,88,80,,
80,90,82,,
84,93,90,,
84,93,88,,
90,99,96,,
97,106,103,,
87,96,95,,
84,93,92,,
85,94,91,,
84,95,87,,
90,102,92,,
92,99,92,,
90,97,89,,
82,91,86,,
86,95,90,,
96,105,100,,
103,112,109,,
85,92,85,,
76,84,73,,
77,84,77,,
85,90,83,,
85,90,83,,
84,89,82,,
84,87,80,,
85,88,81,,
83,86,79,,
85,88,81,,
81,84,77,,
80,83,76,,
78,81,74,,
79,82,75,,
77,80,73,,
85,88,81,,
79,82,75,,
75,78,71,,
77,80,71,,
80,83,74,,
86,89,80,,
79,80,72,,
80,80,72,,
80,80,72,,
78,78,70,,
76,76,68,,
77,74,65,,
77,74,65,,
73,70,63,,
79,77,65,,
74,72,59,,
76,74,61,,
79,75,63,,
76,74,61,,
123,115,92,,
150,137,102,,
153,139,102,,
147,133,96,,
153,139,102,,
161,147,110,,
153,139,102,,
154,140,103,,
152,138,99,,
161,146,103,,
174,161,119,,
180,167,122,,
185,173,123,,
178,166,118,,
139,130,91,,
105,111,97,,
122,141,139,,
113,124,118,,
79,90,76,,
78,88,77,,
73,83,72,,
78,88,77,,
78,86,75,,
74,80,70,,
76,79,70,,
75,78,69,,
76,82,72,,
80,86,76,,
73,79,69,,
101,109,98,,
71,79,68,,
72,75,66,,
75,76,68,,
76,77,69,,
73,74,66,,
78,79,71,,
78,81,74,,
77,80,73,,
79,81,76,,
77,78,72,,
86,86,78,,
72,72,64,,
85,88,79,,
75,83,72,,
73,76,69,,
80,83,76,,
77,76,71,,
76,73,68,,
76,73,66,,
75,72,65,,
77,74,67,,
74,71,64,,
76,73,66,,
74,74,66,,
76,73,66,,
76,71,65,,
73,70,61,,
76,76,66,,
72,73,65,,
79,82,73,,
78,83,76,,
79,86,78,,
81,91,82,,
79,89,80,,
77,84,76,,
79,89,80,,
82,89,81,,
79,86,78,,
74,81,73,,
79,87,76,,
80,90,82,,
84,93,92,,
88,97,96,,
100,109,108,,
95,104,103,,
92,101,100,,
92,101,100,,
95,104,103,,
103,114,108,,
88,99,91,,
92,98,94,,
82,88,84,,
89,98,97,,
85,94,89,,
94,104,96,,
84,93,88,,
78,85,78,,
83,89,85,,
85,91,87,,
82,87,80,,
81,86,79,,
85,90,83,,
84,87,80,,
80,81,73,,
80,80,72,,
81,81,73,,
80,80,72,,
81,81,71,,
81,81,73,,
80,80,72,,
78,78,68,,
77,77,67,,
77,77,69,,
75,75,67,,
76,76,66,,
74,76,65,,
82,82,72,,
79,79,69,,
79,79,69,,
77,77,69,,
78,78,70,,
80,77,70,,
78,78,68,,
79,76,67,,
77,74,67,,
76,74,62,,
76,74,61,,
73,74,60,,
78,76,63,,
85,83,62,,
139,132,103,,
152,136,102,,
152,136,102,,
143,129,94,,
149,134,101,,
151,136,103,,
155,139,103,,
160,142,102,,
169,152,109,,
166,149,105,,
177,160,116,,
185,168,122,,
185,169,118,,
184,167,121,,
137,124,90,,
94,99,92,,
118,133,136,,
103,114,108,,
88,99,85,,
81,91,80,,
82,92,81,,
87,97,86,,
82,90,79,,
78,84,74,,
77,80,71,,
75,78,69,,
73,79,69,,
78,84,74,,
76,82,72,,
71,79,68,,
96,104,93,,
71,74,65,,
74,75,67,,
74,75,67,,
75,76,68,,
76,77,69,,
75,76,70,,
77,76,72,,
77,80,73,,
75,81,71,,
86,87,79,,
65,65,57,,
80,83,74,,
73,79,69,,
73,76,69,,
77,78,72,,
76,75,70,,
75,72,67,,
77,74,67,,
74,71,64,,
86,83,76,,
74,71,64,,
76,73,66,,
73,70,63,,
74,71,64,,
71,70,65,,
72,71,66,,
80,81,75,,
82,85,78,,
81,86,80,,
81,91,83,,
85,96,88,,
75,86,78,,
76,86,77,,
75,82,74,,
76,83,75,,
81,88,80,,
75,82,74,,
76,83,75,,
80,88,77,,
77,86,81,,
79,87,89,,
93,101,103,,
101,110,109,,
95,104,103,,
91,100,99,,
95,104,103,,
103,112,109,,
98,109,103,,
87,99,89,,
79,86,78,,
84,90,88,,
96,104,106,,
98,107,104,,
108,118,109,,
70,80,69,,
73,80,73,,
106,112,110,,
85,92,85,,
87,92,85,,
87,92,85,,
80,85,78,,
78,81,74,,
78,78,70,,
76,76,66,,
78,78,68,,
79,79,69,,
81,81,71,,
83,83,75,,
81,81,73,,
81,81,71,,
80,80,68,,
77,77,69,,
75,75,67,,
76,76,64,,
77,75,62,,
77,75,63,,
78,76,64,,
77,77,67,,
76,73,64,,
77,73,64,,
