,red,green,blue,closest
1238,160,142,102,
1239,169,152,109,
1240,166,149,105,
1241,177,160,116,
1242,185,168,122,
1243,185,169,118,
1244,184,167,121,
1245,137,124,90,
1246,94,99,92,
1247,118,133,136,
1248,103,114,108,
1249,88,99,85,
1250,81,91,80,
1251,82,92,81,
1252,87,97,86,
1253,82,90,79,
1254,78,84,74,
1255,77,80,71,
1256,75,78,69,
1257,73,79,69,
1258,78,84,74,
1259,76,82,72,
1260,71,79,68,
1261,96,104,93,
1262,71,74,65,
1263,74,75,67,
1264,74,75,67,
1265,75,76,68,
1266,76,77,69,
1267,75,76,70,
1268,77,76,72,
1269,77,80,73,
1270,75,81,71,
1271,86,87,79,
1272,65,65,57,
1273,80,83,74,
1274,73,79,69,
1275,73,76,69,
1276,77,78,72,
1277,76,75,70,
1278,75,72,67,
1279,77,74,67,
1280,74,71,64,
1281,86,83,76,
1282,74,71,64,
1283,76,73,66,
1284,73,70,63,
1285,74,71,64,
1286,71,70,65,
1287,72,71,66,
1288,80,81,75,
1289,82,85,78,
1290,81,86,80,
1291,81,91,83,
1292,85,96,88,
1293,75,86,78,
1294,76,86,77,
1295,75,82,74,
1296,76,83,75,
1297,81,88,80,
1298,75,82,74,
1299,76,83,75,
1300,80,88,77,
1301,77,86,81,
1302,79,87,89,
1303,93,101,103,
1304,101,110,109,
1305,95,104,103,
1306,91,100,99,
1307,95,104,103,
1308,103,112,109,
1309,98,109,103,
1310,87,99,89,
1311,79,86,78,
1312,84,90,88,
1313,96,104,106,
1314,98,107,104,
1315,108,118,109,
1316,70,80,69,
1317,73,80,73,
1318,106,112,110,
1319,85,92,85,
1320,87,92,85,
1321,87,92,85,
1322,80,85,78,
1323,78,81,74,
1324,78,78,70,
1325,76,76,66,
1326,78,78,68,
1327,79,79,69,
1328,81,81,71,
1329,83,83,75,
1330,81,81,73,
1331,81,81,71,
1332,80,80,68,
1333,77,77,69,
1334,75,75,67,
1335,76,76,64,
1336,77,75,62,
1337,77,75,63,
1338,78,76,64,
1339,77,77,67,
1340,76,73,64,
1341,77,73,64,
1342,78,74,65,
1343,76,74,62,
1344,76,74,62,
1345,78,76,64,
1346,77,75,62,
1347,78,76,63,
1348,75,73,61,
1349,80,73,63,
1350,85,79,55,
1351,143,133,98,
1352,153,139,104,
1353,147,133,98,
1354,141,126,93,
1355,148,133,102,
1356,140,124,90,
1357,156,140,104,
1358,164,146,108,
1359,175,158,114,
1360,176,159,113,
1361,173,154,111,
1362,191,173,125,
1363,190,170,119,
1364,185,168,122,
1365,144,132,94,
1366,107,113,99,
1367,110,124,125,
1368,117,126,125,
1369,93,103,94,
1370,86,98,86,
1371,79,90,76,
1372,78,89,75,
1373,89,97,84,
1374,77,83,71,
1375,77,80,69,
1376,75,78,67,
1377,74,80,68,
1378,79,85,73,
1379,76,82,70,
1380,72,80,69,
1381,79,85,75,
1382,86,92,82,
1383,78,81,72,
1384,72,73,65,
1385,74,76,65,
1386,74,76,65,
1387,75,75,67,
1388,75,75,67,
1389,77,78,70,
1390,77,78,70,
1391,77,78,72,
1392,80,79,74,
1393,70,71,65,
1394,71,72,66,
1395,75,76,70,
1396,77,77,69,
1397,78,75,70,
1398,77,72,68,
1399,77,74,69,
1400,75,75,65,
1401,83,83,73,
1402,81,78,69,
1403,79,75,66,
